planta,fecha_evento,empresa,tipo_evento,descripcion_incidente,danos_reales_o_potenciales,fuente_peligro,es_verificado,fuente_archivo
LATAM 400,2025-01-06,ALICORP,DANO MATERIAL,"Siendo las 6:31 a.m. el operador de montacargas se encontraba haciendo uso del equipo MYA64 realizando la descarga de mercadería de un camión en la  rampa 19, ya por finalizar el proceso,  el operador descarga una de las paletas restantes, retrocede y luego avanza con la mercadería en dirección hacia la rampa 18, el colaborador comenta que es en ese momento que dormita y choca contra la pared de la rampa 18. ",Daño a las instalaciones,EQUIPO LOGISTICO,,tablero_2025_2026
EEII COPSA PULP 4,2025-01-24,ALICORP,ACTIVACION MECANICA DE ROCIADOR,"El día de hoy a las 15:50, en el almacén EE/II COPSA PUL4, se registró un incidente de alto potencial durante el almacenamiento de mercadería. Durante la maniobra, la parte superior del pallet topa el aspersor accidentalmente, provocando su activación.
Se emitió la alerta, el equipo de seguridad planta acudió al evento de forma inmediata; así mismo, se realizó un hard stop operativo para sensibilizar el incidente al 100% del personal.
 No se registran daños personales y se cuantificará los daños materiales ocasionados por el evento.
Se procederá con la investigación correspondiente para determinar los detalles adicionales.",Daño a las instalaciones,EQUIPO LOGISTICO,,tablero_2025_2026
MOLINO CALLAO,2025-01-26,ALICORP,ARRANQUE DE EQUIPO,"Durante el arranque de la planta, el trabajador [NOMBRE] detectó que uno de los equipos no contaba con la faja correspondiente. De inmediato, envió una comunicación vía mensaje whatsapp al coordinador encargado del arranque para solicitar un retraso en el proceso.

Sin embargo, el coordinador de turno, quien se encontraba en la sala de supervisión, mencionó no haber visto el mensaje de Vilchez y continuó con el arranque.

Al observar que las máquinas comenzaban a ponerse en marcha, Robinson decidió retirarse de la zona y se dirigió a la sala de supervisión.",Lesiones o fatalidad,EQUIPO DE MOLINERIA,,tablero_2025_2026
LURIN 3,2025-01-27,INTRADEVCO,FUGA DE OLEUM,"Durante la producción se identificó una filtración de Oleum de la tubería que sale del filtro de gases de SO3. Luego se procedió a parar la producción y empezar el proceso de desgasificado de las líneas productivas para intervenir y corregir la fisura, después de 1h se inicia la intervención de la tubería, retirando el enchaquetado para ubicar el punto exacto de fuga, y en ese momento se incrementa la fuga Oleum, generando liberación de gases al entrar en contacto con el ambiente.",Intoxicación,SUSTANCIA QUIMICA,,tablero_2025_2026
CD HUACHIPA,2025-01-28,ALICORP,CAIDA DE ACOPLE,"A partir de las 5:30 p.m. se inició la presurización de la red aérea del sistema ACI instalado en el CD Huachipa. Luego de emplear la bomba jockey para levantar presión se procedió a activar la bomba principal. Tras la 3era activación de dicha bomba principal un tramo de tubería ubicada en la azotea de la zona de vestidores se desplazó 50 cm, separándose del tramo de tubería adyacente que quedó fijo (el codo también se separó de la columna a la cual estaba anclado). El acople que unía ambos tramos cayó a 6 metros de su posición original (sobre la misma azotea de la zona de vestidores). En ese momento, se liberó el caudal del agua que cubrió el techo de la azotea y descendió también al primer piso (zona de acceso a los vestidores y estacionamiento). Además del acople caído, se registró desprendimiento del tarrajeo donde se ubicaba el anclaje del codo mostrado en la foto. El incidente está en proceso de investigación.",Lesiones  ,TUBERIA DE SERVICIOS,,tablero_2025_2026
CD PIURA,2025-01-29,ALICORP,AMAGO DE INCENDIO,"Durante el proceso de descargue en CD Piura, se observó un pequeño amago de incendio debajo de la cabina del camión. En ese momento, el almacén procedió a activar la alarma contra incendios. Sin embargo, se identificó que la unidad ya contaba con un dispositivo bloqueador de energía, siendo así, ya no fue necesario el uso de extintores y demás, puesto que el amago se apagó automáticamente y casi de inmediato. ",Incendio,FUEGO,,tablero_2025_2026
CD SANTA CRUZ,2025-02-13,ALICORP,DANO MATERIAL,"En fecha 13 de febrero de 2025, el montacarguista de turno, operador del equipo TOWMOTOR GP25S, regresaba de la cámara fría tras completar el traslado de producto terminado para continuar con sus labores en la operación. 
Durante el traslado por la zona, la uña derecha se engancha en el enmallado que delimita la zona, lo atraviesa y perfora producto apilado en el lugar. El operador retira el montacargas para revisión del daño material. ",Daño de malla de protección,EQUIPO LOGISTICO,,tablero_2025_2026
CD LATAM 600,2025-02-19,ALICORP,DANO MATERIAL,"Alrededor de las 11:34 horas del 19/02 el operador ETV finalizaba de realizar una tarea de almacenaje en la cámara refrigerada, y al salir con el mástil del equipo elevado, impactó con la parte superior del marco de la puerta de la cámara de frio, generando la caída de una parte de este al piso. Por tal motivo, la puerta de acceso a la cámara refrigerada queda bloqueada hasta su reparación. 
No se reportó daños personales.",Daño de marco de puerta,EQUIPO LOGISTICO,,tablero_2025_2026
APT FIDEERIA,2025-02-21,ALICORP,INCIDENTE,"Aproximadamente a las 20:40 horas, un ayudante de despacho se encontraba empujando la mercadería para que esta pueda ser recogida por el montacarguista para luego ser cargada en la unidad de transporte. Sin embargo, debido a que la paleta ubicada en la parte delantera tenía un tamaño menor en comparación con las posteriores, no advirtió su presencia y continuó con la maniobra, lo que provocó la caída de la mercadería hacia la parte exterior del muelle.
Afortunadamente no hubo daños materiales ni personales ya que el personal del patio de maniobras se encontraba apartado.",Potencial daño material o personal,EQUIPO LOGISTICO,,tablero_2025_2026
CDC,2025-02-23,TERCERA,ALTO POTENCIAL,"Al promediar las 12:10, personal tercero se percata que un balón de gas (nuevo) montado en el equipo RUA01 presentaba una fuga, inmediatamente informa la jefe de turno quien solicita apoyo mediante la radio al centro de control.
A los pocos minutos personal de seguridad se acercan para revisar el balón, donde comprueban que existe una ligera fuga, inmediatamente proceden a taparlo con jabón y aislar el balón.
Luego de ello se procedió a informar al proveedor ZGAS para que retire el balón con fuga.",Explosión de balón de gas,BALON DE GLP,,tablero_2025_2026
